,title,about,genre
0,"The First Advent in Palestine: Reversals, Resistance, and the Ongoing Complexity of Hope","
Description
When we picture the first Advent, we see Mary and Joseph huddled by a manger. We picture Gabriel, magi, and shepherds tending their flocks. A shining star against a midnight sky. But this harmonized version has lifted the Advent story out of its context--those who experienced the first Advent had to travel through great darkness to reach the hope that shining star announced. Trusted scholar and community organizer Kelley Nikondeha takes us back, to where the landscape of Palestine is once again the geographic, socioeconomic, and political backdrop for the Advent story. Reading the Advent narratives of Luke and Matthew anew, in their original context, changes so much about how we see the true story of resistance, abusive rulers and systems of oppression, and God coming to earth. In Luke, Rome and Caesar loom, and young Mary's strength and resolve shine brightly as we begin to truly understand what it meant for her to live in the tumultuous Galilee region. In Matthew, through Joseph's point of view, we see the brutality of Herod's rule and how the complexities of empire weighed heavily on the Holy Family. We bear witness to the economic hardship of Nazareth, Bethlehem, and the many villages in between--concerns about daily bread, crushing debt, land loss, and dispossession that ring a familiar echo to our modern ears. Throughout her explorations, Nikondeha features the stories of modern-day Palestinians, centering their voices to help us meet an Advent recognizable for today. This thought-provoking examination invites us into a season of discovery, one that is realistic and honest, and that still wonders at the goodness of God's grace.
",Biblical
1,Womanist Midrash,"
Description
Womanist Midrash is an in- depth and creative exploration of the well- and lesser-known women of the Hebrew Scriptures. Using her own translations, Gafney offers a midrashic interpretation of the biblical text that is rooted in the African American preaching tradition to tell the stories of a variety of female characters, many of whom are often overlooked and nameless. Gafney employs a solid understanding of womanist and feminist approaches to biblical interpretation and the sociohistorical culture of the ancient Near East. This unique and imaginative work that is grounded in serious scholarship will expand conversations about feminist and womanist biblical interpretation.
",Biblical
2,Women and the Gender of God,"
Description
A robust theological argument against the assumption that God is male.God values women.While many Christians would readily affirm this truth, the widely held assumption that the Bible depicts a male God persists--as it has for centuries. This misperception of Christianity not only perniciously implies that men deserve an elevated place over women but also compromises the glory of God by making God appear to be part of creation, subject to it and its categories, rather than in transcendence of it.Through a deep reading of the incarnation narratives of the New Testament and other relevant scriptural texts, Amy Peeler shows how the Bible depicts a God beyond gender and a savior who, while embodied as a man, is the unification in one person of the image of God that resides in both male and female. Peeler begins with a study of Mary and her response to the annunciation, through which it becomes clear that God empowers women and honors their agency. Then Peeler describes from a theological standpoint how the virgin birth of Jesus--the second Adam--reverses the gendered division enacted in the garden of Eden.While acknowledging the significance of the Bible's frequent use of ""Father"" language to represent God as a caring parent, Peeler goes beneath the surface of this metaphor to show how God is never sexualized by biblical writers or described as being physically involved in procreation--making the concept of a masculine God dubious, at best. From these doctrinal centers of Christianity, Peeler leads the way in reasserting the value of women in the church and prophetically speaking out against the destructive idolatry of masculinity.
",Biblical
3,"The Word of a Humble God: The Origins, Inspiration, and Interpretation of Scripture","
Description
""Scripture is a spring of life-giving, life-altering truth, but when we don't understand how and why it came to us, we end up misusing it."" How did we get the Bible? And why does it matter? History reveals that Scripture can be used for both life-giving and destructive purposes. Discovering the Bible's origins makes all the difference for fostering redemptive interpretation of Scripture. Bringing together both historical criticism and theology, this investigation examines ancient scribal culture through the lens of faith. What we find is a divine-human collaboration that points to the character of God and the value of human agency. In this concise presentation of a breadth of scholarship usually only found across multiple volumes, Karen Keen offers a vital introduction to the material origins of the Bible, theories of inspiration, and the history of biblical interpretation--with reflections on what this all means for us as we read Scripture today. Through the ins and outs of these important topics, and with the aid of thought-provoking questions and learning activities at the end of each chapter, Keen argues that the Bible and its origins reveal a humble God who invites us to imitate that humility--a humility that is itself the most powerful antidote to the misinterpretation and abuse of Scripture.
",Biblical
4,God: An Anatomy,"
Description
An astonishing and revelatory history that re-presents God as he was originally envisioned by ancient worshippers--with a distinctly male body, and with superhuman powers, earthly passions, and a penchant for the fantastic and monstrous. [A] rollicking journey through every aspect of Yahweh's body, from top to bottom (yes, that too) and from inside out ... Ms. Stavrakopoulou has almost too much fun.""--The Economist The scholarship of theology and religion teaches us that the God of the Bible was without a body, only revealing himself in the Old Testament in words mysteriously uttered through his prophets, and in the New Testament in the body of Christ. The portrayal of God as corporeal and masculine is seen as merely metaphorical, figurative, or poetic. But, in this revelatory study, Francesca Stavrakopoulou presents a vividly corporeal image of God: a human-shaped deity who walks and talks and weeps and laughs, who eats, sleeps, feels, and breathes, and who is undeniably male. Here is a portrait--arrived at through the author's close examination of and research into the Bible--of a god in ancient myths and rituals who was a product of a particular society, at a particular time, made in the image of the people who lived then, shaped by their own circumstances and experience of the world. From head to toe--and every part of the body in between--this is a god of stunning surprise and complexity, one we have never encountered before.
      ",Biblical
5,"How (Not) to Read the Bible: Making Sense of the Anti-Women, Anti-Science, Pro-Violence, Pro-Slavery and Other Crazy-Sounding Parts of Scripture","
Description
Is Reading the Bible the Fastest Way to Lose Your Faith?For centuries, the Bible was called ""the Good Book,"" a moral and religious text that guides us into a relationship with God and shows us the right way to live. Today, however, some people argue the Bible is outdated and harmful, with many Christians unaware of some of the odd and disturbing things the Bible says.How (Not) to Read the Bible tackles big questions like: 
Does the Bible degrade women?
Is the Bible anti-science?
How could a loving God command such violence in the Old Testament?
Does the Bible endorse slavery?
Bestselling author Dan Kimball guides you step-by-step in how to tackle many of the real questions that people wrestle with when reading the Bible and how to make sense of many of the more difficult and disturbing Bible passages.Filled with fun stories, visual illustrations, and memes reflecting popular cultural objections, How (Not) to Read the Bible is a lifeline for anyone--Christians and doubters alike--who are confused or discouraged with questions about the Bible.Yes, there are puzzling and disturbing Bible passages. . . But there are explanations!
",Biblical
6,What Are Biblical Values?: What the Bible Says on Key Ethical Issues,"
Description
What does the Bible actually say about many of today's most contentious moral issues? ""For drawing attention to the relevant scriptures and for guidance in recognizing what are and aren't valid interpretations of them, Collins' pertinent brief is beyond praiseworthy.""--Booklist (starred review) ""Collins pours a lifetime of scholarship into this study of what the Bible says about controversial ethical topics. It's highly readable, and it's honest.""--Jane McBride, Christian Century  Many people today claim that their positions on various issues are grounded in biblical values, and they use scriptural passages to support their claims. But the Bible was written over the course of several hundred years and contains contradictory positions on many issues. The Bible seldom provides simple answers; it more often shows the complexity of moral problems. Can we really speak of ""biblical values""?  In this eye-opening book, one of the world's leading biblical scholars argues that when we read the Bible with care, we are often surprised by what we find. Examining what the Bible actually says on a number of key themes, John Collins covers a vast array of topics, including the right to life, gender, the role of women, the environment, slavery and liberation, violence and zeal, and social justice. With clarity and authority, he invites us to dramatically reimagine the basis for biblical ethics in the world today.
      ",Biblical
7,Misquoting Jesus: The Story Behind Who Changed the Bible and Why,"
Description
For almost 1,500 years, the New Testament manuscripts were copied by hand--and mistakes and intentional changes abound in the competing manuscript versions. Religious and biblical scholar Bart Ehrman makes the provocative case that many of our widely held beliefs concerning the divinity of Jesus, the Trinity, and the divine origins of the Bible itself are the results of both intentional and accidental alterations by scribes.  In this compelling and fascinating book, Ehrman shows where and why changes were made in our earliest surviving manuscripts, explaining for the first time how the many variations of our cherished biblical stories came to be, and why only certain versions of the stories qualify for publication in the Bibles we read today. Ehrman frames his account with personal reflections on how his study of the Greek manuscripts made him abandon his once ultra-conservative views of the Bible.
",Biblical
8,Kingdom New Testament-OE,"
Description
The New Testament for the Twenty-First CenturyMany readers of the New Testament have grown overly familiar with the biblical text, losing sight of the wonder and breadth of its innovative ideas and world-changing teachings about the life and role of Jesus of Nazareth. In The Kingdom New Testament, N. T. Wright, author and one of the world's leading New Testament scholars, offers an all-new English translation that invigorates these sacred texts and allows contemporary readers to encounter these historic works afresh. The original Greek text is vibrant, alive, and active, and Wright's translation retains that spirit by providing a new English text for the twenty-first-century reader. At the same time, based on his work as a pioneering interpreter of the Bible, Wright also corrects other translations so as to provide more accurate representations of the original writers' intent.The Kingdom New Testament features consistent use of gender-neutral language and a more ""popular-level"" language matching character of the original Greek, while maintaining the vibrancy and urgency of the original work. It will help the next generation of Christians acquire a firsthand understanding of what the New Testament had to say in its own world, and what it urgently has to say in ours.Features: 
Complete text of the Kingdom New Testament--a fresh, new translation by N. T. Wright
Preface by N. T. Wright
Dozens of maps throughout the text
Paragraph headings

",Biblical
9,The Meaning of Mary Magdalene: Discovering the Woman at the Heart of Christianity,"
Description
The author of The Wisdom Jesus takes readers on a journey to discover the real Mary Magdalene--and finds a powerful, ancient model for 21st-century spirituality  Mary Magdalene is one of the most influential symbols in the history of Christianity--yet, if you look in the Bible, you'll find only a handful of verses that speak of her. How did she become such a compelling saint in the face of such paltry evidence?  In her effort to answer that question, Cynthia Bourgeault examines the Bible, church tradition, art, legend, and newly discovered texts to see what's there. She then applies her own reasoning and intuition, informed by the wisdom of the ages-old Christian contemplative tradition. What emerges is a radical view of Mary Magdalene as Jesus's most important disciple, the one he considered to understand his teaching best. That teaching was characterized by a nondualistic approach to the world and by a deep understanding of the value of the feminine. Cynthia shows how an understanding of Mary Magdalene can revitalize contemporary Christianity, how Christians and others can, through her, find their way to Jesus's original teachings and apply them to their modern lives.
      ",Biblical
