,title,about,genre
0,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","
Description
*More than 1 million copies sold * New York Times bestseller * Winner of the James Beard Award and multiple IACP Cookbook Awards * Available as a Netflix series * Transform how you prep, cook, and think about food with this visionary master class in cooking by Samin Nosrat that distills decades of professional experience into just four simple elements--from the woman declared ""America's next great cooking teacher"" by Alice Waters. Featuring more than 100 recipes from Samin and more than 150 illustrations from acclaimed illustrator Wendy MacNaughton! In the tradition of The Joy of Cooking and How to Cook Everything comes Salt, Fat, Acid, Heat, an ambitious new approach to cooking. Chef and writer Samin Nosrat has taught everyone from professional chefs to middle school kids to author Michael Pollan to cook using her revolutionary, yet simple, philosophy. Master the use of just four elements--Salt, which enhances flavor; Fat, which delivers flavor and generates texture; Acid, which balances flavor; and Heat, which ultimately determines the texture of food--and anything you cook will be delicious. By explaining the hows and whys of good cooking, Salt, Fat, Acid, Heat will teach and inspire a new generation of cooks how to confidently make better decisions in the kitchen and cook delicious meals with any ingredients, anywhere, at any time. Echoing Samin's own journey from culinary novice to award-winning chef, Salt, Fat Acid, Heat immediately bridges the gap between home and professional kitchens. With charming narrative, illustrated walkthroughs, and a lighthearted approach to kitchen science, Samin demystifies the four elements of good cooking for everyone. Refer to the canon of 100 essential recipes--and dozens of variations--to put the lessons into practice and make bright, balanced vinaigrettes, perfectly caramelized roast vegetables, tender braised meats, and light, flaky pastry doughs. Destined to be a classic, Salt, Fat, Acid, Heat just might be the last cookbook you'll ever need. With a foreword by Michael Pollan. *Named one of the Best Books of the Year by: NPR, BuzzFeed, The Washington Post, Chicago Tribune, Rachel Ray Every Day, San Francisco Chronicle, Elle.com,  Glamour, Eater, Newsday, The Seattle Times, Tampa Bay Times, Tasting Table, Publishers Weekly, and more!*
",Cooking
1,From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen,"
Description
Looking for cookbooks with a little more personality? Welcome to tha Boss Dogg's Kitchen.   The first cookbook and recipe book from Tha Dogg, From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen. You've seen Snoop Dogg work his culinary magic on VH1's Emmy-nominated Martha and Snoop's Potluck Dinner Party, and now Tha Dogg's up in your kitchen ... with his first cookbook.  Recipe book that delivers 50 recipes straight from Snoop's own collection: Snoop's cookbook features OG soul food cookbook staples like 
 Baked Mac & Cheese 
 Fried Bologna Sandwiches with Chips 
 Shrimp Po' Boy 
 Plus new takes on classic weeknight faves like Soft Flour Tacos and Easy Orange Chicken.  And it don't stop ... Snoop's giving a taste of the high life with remixes on upper echelon fare such as Lobster Thermidor and Filet Mignon. But we gotta keep it G with those favorite munchies too, ya know? From chewy Starbursts to those glorious Frito BBQ Twists, you should have an arsenal of snacks that'll satisfy. And of course, no party is complete without that Gin and Juice and other platinum ways to entertain.  CELEBRITY COOKBOOKS: If you're a fan of celebrity books and cookbooks such as Bob's Burgers, Magnolia Table Cookbook, Margaritaville cookbook, Thug Kitchen cookbook, or the Gilmore Girls Eat Like a Gilmore; the Snoop Dogg cookbook has got you covered - complete with epic stories and behind-the-scenes photos that bring his masterpieces to life.  SOUL FOOD DONE RIGHT: One thing for sure two things for certain: A Dogg's Gotta Eat. And Tha Boss Dogg is gonna show you how. These recipes are Snoop's personal hits, straight outta his kitchen and never before shared. 
",Cooking
2,Liquid Intelligence: The Art and Science of the Perfect Cocktail,"
Description
In Dave Arnold's world, the shape of an ice cube, the sugars and acids in an apple, and the bubbles in a bottle of champagne are all ingredients to be measured, tested, and tweaked.With Liquid Intelligence, the creative force at work in Booker & Dax, New York City's high-tech bar, brings readers behind the counter and into the lab. There, Arnold and his collaborators investigate temperature, carbonation, sugar concentration, and acidity in search of ways to enhance classic cocktails and invent new ones that revolutionize your expectations about what a drink can look and taste like.Years of rigorous experimentation and study--botched attempts and inspired solutions--have yielded the recipes and techniques found in these pages. Featuring more than 120 recipes and nearly 450 color photographs, Liquid Intelligence begins with the simple--how ice forms and how to make crystal-clear cubes in your own freezer--and then progresses into advanced techniques like clarifying cloudy lime juice with enzymes, nitro-muddling fresh basil to prevent browning, and infusing vodka with coffee, orange, or peppercorns.Practical tips for preparing drinks by the pitcher, making homemade sodas, and building a specialized bar in your own home are exactly what drink enthusiasts need to know. For devotees seeking the cutting edge, chapters on liquid nitrogen, chitosan/gellan washing, and the applications of a centrifuge expand the boundaries of traditional cocktail craft.Arnold's book is the beginning of a new method of making drinks, a problem-solving approach grounded in attentive observation and creative techniques. Readers will learn how to extract the sweet flavor of peppers without the spice, why bottling certain drinks beforehand beats shaking them at the bar, and why quinine powder and succinic acid lead to the perfect gin and tonic. Liquid Intelligence is about satisfying your curiosity and refining your technique, from red-hot pokers to the elegance of an old-fashioned. Whether you're in search of astounding drinks or a one-of-a-kind journey into the next generation of cocktail making, Liquid Intelligence is the ultimate standard--one that no bartender or drink enthusiast should be without.
",Cooking
3,How to Cook Everything--Completely Revised Twentieth Anniversary Edition: Simple Recipes for Great Food,"
Description
The ultimate kitchen companion, completely updated and better than ever, now for the first time featuring color photos  For twenty years, Mark Bittman's How to Cook Everything has been the definitive guide to simple home cooking. This new edition has been completely revised for today's cooks while retaining Bittman's trademark minimalist style--easy-to-follow recipes and variations, and tons of ideas and inspiration.  Inside, you'll find hundreds of brand-new features, recipes, and variations, like Slow-Simmered Beef Chili, My New Favorite Fried Chicken, and Eggs Poached in Tomato Sauce; plus old favorites from the previous editions, in many cases reimagined with new methods or flavors. Recipes and features are designed to give you unparalleled freedom and flexibility: for example, infinitely variable basic techniques (Grilling Vegetables, Roasting Seafood); innovative uses for homemade condiments; easy-to-make one-pot pastas; and visual guides to improvising soups, stir-fries, and more. Bittman has also updated all the information on ingredients, including whole grains and produce, alternative baking staples, and sustainable seafood. And, new for this edition, recipes are showcased throughout with color photos.  By increasing the focus on usability, modernizing the recipes to become new favorites, and adding gorgeous photography, Mark Bittman has updated this classic cookbook to be more indispensable than ever.
      ",Cooking
4,Mezcla: Recipes to Excite [A Cookbook],"
Description
100 recipes for everyday eating with built-in wow factor, from the Ottolenghi protégé and co-author of Ottolenghi Flavor shaking up the food world. ""This is such a beautiful and joyful book!""--NIGELLA LAWSON ONE OF THE BEST COOKBOOKS OF THE YEAR: Bon Appétit MEZCLA means mix, blend, or fusion in Spanish, and in her first solo cookbook, Ixta Belfrage--loved for her inventive ingredient combinations--shares her favorite mezcla of flavors. Helpfully divided into quick recipes (for when you need something great on the table, fast) and longer recipes (for when you have time to slow down and savor the process), here are one hundred bold, impactful recipes inspired by Italy, Brazil, Mexico, and beyond. There are quick, flavorful recipes such as Giant Cheese on Toast with Honey and Urfa Butter, Piri Piri Tofu with Crispy Orzo,  and Chicken with Pineapple and 'Nduja, as well as dishes to spend more time over: Chiles Rellenos with Salsa Roja Risotto, Sticky Coconut Rice Cake with Turmeric Tomatoes and Shrimp Lasagna with Habanero Oil. Creative, colorful, and always delicious, this is food for every day and every occasion.
      ",Cooking
5,Joy of Cooking: 2019 Edition Fully Revised and Updated,"
Description
""Generation after generation, Joy has been a warm, encouraging presence in American kitchens, teaching us to cook with grace and humor. This luminous new edition continues on that important tradition while seamlessly weaving in modern touches, making it all the more indispensable for generations to come."" --Samin Nosrat, author of Salt, Fat, Acid, Heat ""Cooking shouldn't just be about making a delicious dish--owning the process and enjoying the experience ought to be just as important as the meal itself. The new Joy of Cooking is a reminder that nothing can compare to gathering around the table for a home cooked meal with the people who matter most."" --Joanna Gaines, author of Magnolia Table In the nearly ninety years since Irma S. Rombauer self-published the first three thousand copies of Joy of Cooking in 1931, it has become the kitchen bible, with more than 20 million copies in print. This new edition of Joy has been thoroughly revised and expanded by Irma's great-grandson John Becker and his wife, Megan Scott. John and Megan developed more than six hundred new recipes for this edition, tested and tweaked thousands of classic recipes, and updated every section of every chapter to reflect the latest ingredients and techniques available to today's home cooks. Their strategy for revising this edition was the same one Irma and Marion employed: Vet, research, and improve Joy's coverage of legacy recipes while introducing new dishes, modern cooking techniques, and comprehensive information on ingredients now available at farmers' markets and grocery stores. You will find tried-and-true favorites like Banana Bread Cockaigne, Chocolate Chip Cookies, and Southern Corn Bread--all retested and faithfully improved--as well as new favorites like Chana Masala, Beef Rendang, Megan's Seeded Olive Oil Granola, and Smoked Pork Shoulder. In addition to a thoroughly modernized vegetable chapter, there are many more vegan and vegetarian recipes, including Caramelized Tamarind Tempeh, Crispy Pan-Fried Tofu, Spicy Chickpea Soup, and Roasted Mushroom Burgers. Joy's baking chapters now include gram weights for accuracy, along with a refreshed lineup of baked goods like Cannelés de Bordeaux, Rustic No-Knead Sourdough, Ciabatta, Chocolate-Walnut Babka, and Chicago-Style Deep-Dish Pizza, as well as gluten-free recipes for pizza dough and yeast breads. A new chapter on streamlined cooking explains how to economize time, money, and ingredients and avoid waste. You will learn how to use a diverse array of ingredients, from amaranth to za'atar. New techniques include low-temperature and sous vide cooking, fermentation, and cooking with both traditional and electric pressure cookers. Barbecuing, smoking, and other outdoor cooking methods are covered in even greater detail. This new edition of Joy is the perfect combination of classic recipes, new dishes, and indispensable reference information for today's home cooks. Whether it is the only cookbook on your shelf or one of many, Joy is and has been the essential and trusted guide for home cooks for almost a century. This new edition continues that legacy.
      ",Cooking
6,Vegan Cooking for Two: 200+ Recipes for Everything You Love to Eat,"
Description
The most comprehensive guide to easy, quick, and delicious small-batch plant-based cooking No more throwing out past-its-prime produce, doing on-the-fly math to scale down recipes designed to serve a crowd, or guessing at substitutions for nonvegan ingredients. Now you can skip straight to perfectly portioned, all-vegan custardy French toast, katsu sandwiches with the crispiest pan-fried tofu, spicy sesame noodles, velvety vegetable chowder, gooey fig streusel bars, and more. 
220+ vegan recipes for breakfast, dessert, and everything in between.
140+ recipes are ready in 45 minutes or less, and over half of recipes require 10 or fewer ingredients.
Dramatically reduce kitchen waste with smart shopping and food storage tips. The Use It Up chart helps you find recipes that use up pesky leftovers.
Embrace vegan cheese,  butter, egg, and more store-bought products for ultimate convenience. We tell you which products to buy for the best results.
All out of sweet potatoes? Substitute squash. Then level up with a crispy tempeh topping. 300+ Kitchen Improv suggestions make each recipe flexible and customizable.
Failproof baked vegan treats. Scaled-down banana muffins and chocolate-ginger scones emerge from the oven (or toaster oven) perfectly risen every time.
",Cooking
7,The I Love Trader Joe's Cookbook: 10th Anniversary Edition: 150 Delicious Recipes Using Favorite Ingredients from the Greatest Grocery Store in the World,"
Description
Discover the countless meals you can make with your favorite Trader Joe's(R) products, including low-carb, keto-friendly recipes, sweet treats, vegetarian and vegan ideas, party-ready appetizers and snacks, and much more!  Both budget-friendly and delicious, we all love Trader Joe's(R)! So why not explore your love for this beloved grocery store with the creative and mouthwatering recipes in The I Love Trader Joe's(R) Cookbook? From hors d'oeuvres and appetizers for the perfect party to restaurant-worthy breakfasts, lunches, and dinners, you'll be surprised at the amazing meals you can make after a quick trip to Trader Joe's(R), including:  - Apple sausage and cheddar bites - Brie and pear galette - Chile and crab chowder - Lamb loin with pomegranate reduction - Margarita pork chops  TRADER JOE'S(R) is a registered trademark of Trader Joe's(R) Company and is used here for informational purposes only. This book is independently authored and published and is not affiliated or associated with Trader Joe's(R) Company in any way. Trader Joe's(R) Company does not authorize, sponsor, or endorse this book or any of the information contained herein. 
",Cooking
8,Is This a Cookbook?: Adventures in the Kitchen,"
Description
A BON APPETIT BEST COOKBOOK OF THE YEAR A culinary adventure from three-time James Beard Award-winning, Michelin-starred chef Heston Blumenthal--but is it a cookbook? Well, it's full of Heston's typically marvelous recipes like pea and ham soup-in-a-sandwich and bacon and egg porridge, popcorn popcorn chicken and (r)ice cream. But in Heston's kitchen, to cook is to embark on a journey of quantum gastronomy: exploring the palate, feeding the inner child, and plunging headfirst through the plate and into the soul. Each of the 70 simple, straightforward recipes is accompanied by Heston's stories, insights, and hacks, turning each cooking session into a journey--and revealing a whole world of culinary possibilities and fresh perspectives. Brought to life by the incredible illustrations by Dave McKean, Heston's long-term collaborator and one of the greatest illustrators at work today, Is This A Cookbook? is the next best thing to having Heston as your sous-chef.Why not take him along as your adventure partner, too?
      ",Cooking
9,Matty Matheson: Home Style Cookery: A Home Cookbook,"
Description
New York Times bestseller! Here is recipe-packed cookbook from Matty Matheson, star of Viceland's It's Suppertime and Dead Set On Life. Now a member of the cast of the hit series The Bear, Matty offers advice for the home cook who wants to be more creative and ambitious when cooking for family and friends.  Home Style Cookery is Matty's definitive guide to mastering your kitchen, covering everything from pantry staples (breads, stocks, and pickles) to party favorites (dips, fried foods, and grilled meats), to weeknight go-tos (stews, pastas, salads), and special occasion showstoppers (roasts, smoked meats, and desserts) in 135 of his absolute favorite recipes to cook for the people you love. Recipes include: 
Molasses Bread in an Apple Juice Can
Beef and Bone Marrow Stock
Kitchen Sink Salad
Thanksgiving Stuffing Butternut Squash
Seven-Layer Dip (the Tallest You've Ever Seen)
Littleneck Clam Orecchiette
Pho Ga
Sichuan Newfoundland Cod
Double Beef Patty Melt with Gruyere and Molasses Bread
Fish Sticks with Kewpie Tartar Sauce
Salt Crust Leg of Lamb and Yukon Golds with Creamed Spinach
Texas-Style Prime Rib
T-bone Steak and Fine Herb Chimichurri
Lobster Thermidor with Bearnaise and Salt and Vinegar Chips
And over 100 more!
 Matty also offers his favorite desserts, like his wife Trish's Chocolate Chip Cookies and Creme Caramel.  The home cook will be excited and delighted by Matty's bold style of cooking. Along with beautiful photographs of Matty's dishes and his farm, this one-of-a-kind cookbook is filled with signature recipes that are equal parts approachable and tasty.
      ",Cooking
