,title,about,genre
0,The Song of the Cell: An Exploration of Medicine and the New Human,"
Description
A New York Times Bestseller and Goodreads Choice Awards 2022 Finalist! From the author of The Emperor of All Maladies, winner of the Pulitzer Prize, and The Gene, a #1 New York Times bestseller, comes his most spectacular book yet, an exploration of medicine and our radical new ability to manipulate cells. Rich with Mukherjee's revelatory and exhilarating stories of scientists, doctors, and the patients whose lives may be saved by their work, The Song of the Cell is the third book in this extraordinary writer's exploration of what it means to be human. Mukherjee begins this magnificent story in the late 1600s, when a distinguished English polymath, Robert Hooke, and an eccentric Dutch cloth-merchant, Antonie van Leeuwenhoek looked down their handmade microscopes. What they saw introduced a radical concept that swept through biology and medicine, touching virtually every aspect of the two sciences, and altering both forever. It was the fact that complex living organisms are assemblages of tiny, self-contained, self-regulating units. Our organs, our physiology, our selves--hearts, blood, brains--are built from these compartments. Hooke christened them ""cells"". The discovery of cells--and the reframing of the human body as a cellular ecosystem--announced the birth of a new kind of medicine based on the therapeutic manipulations of cells. A hip fracture, a cardiac arrest, Alzheimer's dementia, AIDS, pneumonia, lung cancer, kidney failure, arthritis, COVID pneumonia--all could be reconceived as the results of cells, or systems of cells, functioning abnormally. And all could be perceived as loci of cellular therapies. In The Song of the Cell, Mukherjee tells the story of how scientists discovered cells, began to understand them, and are now using that knowledge to create new humans. He seduces you with writing so vivid, lucid, and suspenseful that complex science becomes thrilling. Told in six parts, laced with Mukherjee's own experience as a researcher, a doctor, and a prolific reader, The Song of the Cell is both panoramic and intimate--a masterpiece.
      ",History
1,American Sirens: The Incredible Story of the Black Men Who Became America's First Paramedics,"
Description
The extraordinary story of an unjustly forgotten group of Black men in Pittsburgh who became the first paramedics in America, saving lives and changing the course of emergency medicine around the world Until the 1970s, if you suffered a medical crisis, your chances of survival were minimal. A 9-1-1 call might bring police or even the local funeral home. But that all changed with Freedom House EMS in Pittsburgh, a group of Black men who became America's first paramedics and set the gold standard for emergency medicine around the world, only to have their story and their legacy erased--until now. In American Sirens, acclaimed journalist and paramedic Kevin Hazzard tells the dramatic story of how a group of young, undereducated Black men forged a new frontier of healthcare. He follows a rich cast of characters that includes John Moon, an orphan who found his calling as a paramedic; Peter Safar, the Nobel Prize-nominated physician who invented CPR and realized his vision for a trained ambulance service; and Nancy Caroline, the idealistic young doctor who turned a scrappy team into an international leader. At every turn, Freedom House battled racism--from the community, the police, and the government. Their job was grueling, the rules made up as they went along, their mandate nearly impossible--and yet despite the long odds and fierce opposition, they succeeded spectacularly. Never-before revealed in full, this is a rich and troubling hidden history of the Black origins of America's paramedics, a special band of dedicated essential workers, who stand ready to serve day and night on the line between life and death for every one of us.
      ",History
2,The Emperor of All Maladies: A Biography of Cancer,"
Description
        Winner of the Pulitzer Prize, and now a documentary from Ken Burns on PBS, The Emperor of All Maladies is a magnificent, profoundly humane ""biography"" of cancer--from its first documented appearances thousands of years ago through the epic battles
      ",History
3,The Facemaker: A Visionary Surgeon's Battle to Mend the Disfigured Soldiers of World War I,"
Description
A New York Times BestsellerEnthralling. Harrowing. Heartbreaking. And utterly redemptive. Lindsey Fitzharris hit this one out of the park. --Erik Larson, author of The Splendid and the VileLindsey Fitzharris, the award-winning author of The Butchering Art, presents the compelling, true story of a visionary surgeon who rebuilt the faces of the First World War's injured heroes, and in the process ushered in the modern era of plastic surgery. From the moment the first machine gun rang out over the Western Front, one thing was clear: humankind's military technology had wildly surpassed its medical capabilities. Bodies were battered, gouged, hacked, and gassed. The First World War claimed millions of lives and left millions more wounded and disfigured. In the midst of this brutality, however, there were also those who strove to alleviate suffering. The Facemaker tells the extraordinary story of such an individual: the pioneering plastic surgeon Harold Gillies, who dedicated himself to reconstructing the burned and broken faces of the injured soldiers under his care. Gillies, a Cambridge-educated New Zealander, became interested in the nascent field of plastic surgery after encountering the human wreckage on the front. Returning to Britain, he established one of the world's first hospitals dedicated entirely to facial reconstruction. There, Gillies assembled a unique group of practitioners whose task was to rebuild what had been torn apart, to re-create what had been destroyed. At a time when losing a limb made a soldier a hero, but losing a face made him a monster to a society largely intolerant of disfigurement, Gillies restored not just the faces of the wounded but also their spirits. The Facemaker places Gillies's ingenious surgical innovations alongside the dramatic stories of soldiers whose lives were wrecked and repaired. The result is a vivid account of how medicine can be an art, and of what courage and imagination can accomplish in the presence of relentless horror.
      ",History
4,The Doctors Blackwell: How Two Pioneering Sisters Brought Medicine to Women and Women to Medicine,"
Description
Elizabeth Blackwell believed from an early age that she was destined for a mission beyond the scope of ordinary womanhood. Though the world at first recoiled at the notion of a woman studying medicine, her intelligence and intensity ultimately won her the acceptance of the male medical establishment. In 1849, she became the first woman in America to receive an M.D. She was soon joined in her iconic achievement by her younger sister, Emily, who was actually the more brilliant physician.Exploring the sisters' allies, enemies, and enduring partnership, Janice P. Nimura presents a story of trial and triumph. Together, the Blackwells founded the New York Infirmary for Indigent Women and Children, the first hospital staffed entirely by women. Both sisters were tenacious and visionary, but their convictions did not always align with the emergence of women's rights--or with each other. From Bristol, Paris, and Edinburgh to the rising cities of antebellum America, this richly researched new biography celebrates two complicated pioneers who exploded the limits of possibility for women in medicine. As Elizabeth herself predicted, a hundred years hence, women will not be what they are now.
",History
5,The Immortal Life of Henrietta Lacks,"
Description
#1 NEW YORK TIMES BESTSELLER - ""The story of modern medicine and bioethics--and, indeed, race relations--is refracted beautifully, and movingly.""--Entertainment Weekly NOW A MAJOR MOTION PICTURE FROM HBO(R) STARRING OPRAH WINFREY AND ROSE BYRNE - ONE OF THE ""MOST INFLUENTIAL"" (CNN), ""DEFINING"" (LITHUB), AND ""BEST"" (THE PHILADELPHIA INQUIRER) BOOKS OF THE DECADE - ONE OF ESSENCE'S 50 MOST IMPACTFUL BLACK BOOKS OF THE PAST 50 YEARS - WINNER OF THE CHICAGO TRIBUNE HEARTLAND PRIZE FOR NONFICTION NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The New York Times Book Review - Entertainment Weekly - O: The Oprah Magazine - NPR - Financial Times - New York - Independent (U.K.) - Times (U.K.) - Publishers Weekly - Library Journal - Kirkus Reviews - Booklist - Globe and Mail Her name was Henrietta Lacks, but scientists know her as HeLa. She was a poor Southern tobacco farmer who worked the same land as her slave ancestors, yet her cells--taken without her knowledge--became one of the most important tools in medicine: The first ""immortal"" human cells grown in culture, which are still alive today, though she has been dead for more than sixty years. HeLa cells were vital for developing the polio vaccine; uncovered secrets of cancer, viruses, and the atom bomb's effects; helped lead to important advances like in vitro fertilization, cloning, and gene mapping; and have been bought and sold by the billions. Yet Henrietta Lacks remains virtually unknown, buried in an unmarked grave. Henrietta's family did not learn of her ""immortality"" until more than twenty years after her death, when scientists investigating HeLa began using her husband and children in research without informed consent. And though the cells had launched a multimillion-dollar industry that sells human biological materials, her family never saw any of the profits. As Rebecca Skloot so brilliantly shows, the story of the Lacks family--past and present--is inextricably connected to the dark history of experimentation on African Americans, the birth of bioethics, and the legal battles over whether we control the stuff we are made of. Over the decade it took to uncover this story, Rebecca became enmeshed in the lives of the Lacks family--especially Henrietta's daughter Deborah. Deborah was consumed with questions: Had scientists cloned her mother? Had they killed her to harvest her cells? And if her mother was so important to medicine, why couldn't her children afford health insurance? Intimate in feeling, astonishing in scope, and impossible to put down, The Immortal Life of Henrietta Lacks captures the beauty and drama of scientific discovery, as well as its human consequences.
      ",History
6,Stiff: The Curious Lives of Human Cadavers,"
Description
For two thousand years, cadavers - some willingly, some unwittingly - have been involved in science's boldest strides and weirdest undertakings. They've tested France's first guillotines, ridden the NASA Space Shuttle, been crucified in a Parisian laboratory to test the authenticity of the Shroud of Turin, and helped solve the mystery of TWA Flight 800. For every new surgical procedure, from heart transplants to gender confirmation surgery, cadavers have helped make history in their quiet way. ""Delightful--though never disrespectful"" (Les Simpson, Time Out New York), Stiff investigates the strange lives of our bodies postmortem and answers the question: What should we do after we die?""This quirky, funny read offers perspective and insight about life, death and the medical profession. . . . You can close this book with an appreciation of the miracle that the human body really is."" --Tara Parker-Pope, Wall Street Journal""Gross, educational, and unexpectedly sidesplitting."" --Entertainment Weekly
",History
7,The Radium Girls: The Dark Story of America's Shining Women,"
Description
A New York Times, USA Today, Wall Street Journal, and Amazon Charts Bestseller!For fans of Hidden Figures, comes the incredible true story of the women heroes who were exposed to radium in factories across the U.S. in the early 20th century, and their brave and groundbreaking battle to strengthen workers' rights, even as the fatal poison claimed their own lives...In the dark years of the First World War, radium makes gleaming headlines across the nation as the fresh face of beauty, and wonder drug of the medical community. From body lotion to tonic water, the popular new element shines bright. Meanwhile, hundreds of girls toil amidst the glowing dust of the radium-dial factories. The glittering chemical covers their bodies from head to toe; they light up the night like industrious fireflies. With such a coveted job, these shining girls are the luckiest alive -- until they begin to fall mysteriously ill. And, until they begin to come forward.As the women start to speak out on the corruption, the factories that once offered golden opportunities ignore all claims of the gruesome side effects. And as the fatal poison of the radium takes hold, the brave shining girls find themselves embroiled in one of the biggest scandals of America's early 20th century, and in a groundbreaking battle for workers' rights that will echo for centuries to come. A timely story of corporate greed and the brave figures that stood up to fight for their lives, these women and their voices will shine for years to come.Written with a sparkling voice and breakneck pace, The Radium Girls fully illuminates the inspiring young women exposed to the wonder substance of radium, and their awe-inspiring strength in the face of almost impossible circumstances. Their courage and tenacity led to life-changing regulations, research into nuclear bombing, and ultimately saved hundreds of thousands of lives...
",History
8,The Gene: An Intimate History,"
Description
The #1 NEW YORK TIMES Bestseller  The basis for the PBS Ken Burns Documentary The Gene: An Intimate History From the Pulitzer Prize-winning author of The Emperor of All Maladies--a fascinating history of the g
",History
9,"And the Band Played on: Politics, People, and the AIDS Epidemic (Anniversary)","
Description
Upon its first publication more than twenty years ago, And the Band Played on was quickly recognized as a masterpiece of investigative reporting.   An international bestseller, a nominee for the National Book Critics Circle Award, and made into a critically acclaimed movie, Shilts' expose revealed why AIDS was allowed to spread unchecked during the early 80's while the most trusted institutions ignored or denied the threat. One of the few true modern classics, it changed and framed how AIDS was discussed in the following years. Now republished in a special 20th Anniversary edition, And the Band Played On remains one of the essential books of our time.
      ",History
