,title,about,genre
0,Meditations: A New Translation (Revised),"
Description
Nearly two thousand years after it was written, Meditations remains profoundly relevant for anyone seeking to lead a meaningful life. Few ancient works have been as influential as the Meditations of Marcus Aurelius, philosopher and emperor of Rome (A.D. 161-180). A series of spiritual exercises filled with wisdom, practical guidance, and profound understanding of human behavior, it remains one of the greatest works of spiritual and ethical reflection ever written. Marcus's insights and advice--on everything from living in the world to coping with adversity and interacting with others--have made the Meditations required reading for statesmen and philosophers alike, while generations of ordinary readers have responded to the straightforward intimacy of his style. For anyone who struggles to reconcile the demands of leadership with a concern for personal integrity and spiritual well-being, the Meditations remains as relevant now as it was two thousand years ago.  In Gregory Hays's new translation--the first in thirty-five years--Marcus's thoughts speak with a new immediacy. In fresh and unencumbered English, Hays vividly conveys the spareness and compression of the original Greek text. Never before have Marcus's insights been so directly and powerfully presented.  With an Introduction that outlines Marcus's life and career, the essentials of Stoic doctrine, the style and construction of the Meditations, and the work's ongoing influence, this edition makes it possible to fully rediscover the thoughts of one of the most enlightened and intelligent leaders of any era.
      ",Philosophers
1,Meditations,"
Description
A leading translation of Stoic philosophy in wise and practical aphorisms that have inspired Bill Clinton, Ryan Holiday, Anna Kendrick and many more. Written in Greek by an intellectual Roman emperor without any intention of publication, the Meditations of Marcus Aurelius offer a wide range of fascinating spiritual reflections and exercises developed as the leader struggled to understand himself and make sense of the universe. Spanning from doubt and despair to conviction and exaltation, they cover such diverse topics as the question of virtue, human rationality, the nature of the gods and the values of leadership. But while the Meditations were composed to provide personal consolation, in developing his beliefs Marcus also created one of the greatest of all works of philosophy: a series of wise and practical aphorisms that have been consulted and admired by statesmen, thinkers and ordinary readers for almost two thousand years. To provide a full understanding of Aurelius's seminal work, this edition includes explanatory notes, a general index, an index of quotations, an index of names, and an introduction by Diskin Clay putting the work in its biographical, historical, and literary context, a chronology of Marcus Aurelius's life and career. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.
      ",Philosophers
2,How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,"
Description
This is a wonderful and important book that anyone interested in Stoicism or in being a better leader should read. --Ryan Holiday  Roman emperor Marcus Aurelius was the final famous Stoic philosopher of the ancient world. The Meditations, his personal journal, survives to this day as one of the most loved self-help and spiritual classics of all time. In How to Think Like a Roman Emperor, cognitive psychotherapist Donald Robertson weaves the life and philosophy of Marcus Aurelius together seamlessly to provide a compelling modern-day guide to the Stoic wisdom followed by countless individuals throughout the centuries as a path to achieving greater fulfillment and emotional resilience.  How to Think Like a Roman Emperor takes readers on a transformative journey along with Marcus, following his progress from a young noble at the court of Hadrian--taken under the wing of some of the finest philosophers of his day--through to his reign as emperor of Rome at the height of its power. Robertson shows how Marcus used philosophical doctrines and therapeutic practices to build emotional resilience and endure tremendous adversity, and guides readers through applying the same methods to their own lives.  Combining remarkable stories from Marcus's life with insights from modern psychology and the enduring wisdom of his philosophy, How to Think Like a Roman Emperor puts a human face on Stoicism and offers a timeless and essential guide to handling the ethical and psychological challenges we face today.
      ",Philosophers
3,Heartbreak: A Personal and Scientific Journey,"
Description
When her twenty-five-year marriage suddenly falls apart, journalist Florence Williams expects the loss to hurt. But when she starts feeling physically sick, losing weight and sleep, she sets out in pursuit of rational explanation. She travels to the frontiers of the science of ""social pain"" to learn why heartbreak hurts so much--and why so much of the conventional wisdom about it is wrong.Soon Williams finds herself on a surprising path that leads her from neurogenomic research laboratories to trying MDMA in a Portland therapist's living room, from divorce workshops to the mountains and rivers that restore her. She tests her blood for genetic markers of grief, undergoes electrical shocks while looking at pictures of her ex, and discovers that our immune cells listen to loneliness. Searching for insight as well as personal strategies to game her way back to health, she seeks out new relationships and ventures into the wilderness in search of an extraordinary antidote: awe.With warmth, daring, wit, and candor, Williams offers a gripping account of grief and healing. Heartbreak is a remarkable merging of science and self-discovery that will change the way we think about loneliness, health, and what it means to fall in and out of love.
",Philosophers
4,Walden,"
Description
Designed to appeal to the book lover, the Macmillan Collector's Library is a series of beautifully bound pocket-sized gift editions of much loved classic titles. Bound in real cloth, printed on high quality paper, and featuring ribbon markers and gilt edges, Macmillan Collector's Library are books to love and treasure. Henry Thoreau is considered, along with Edgar Allan Poe, Ralph Waldo Emerson, Walt Whitman and Nathaniel Hawthorne, as one of the leading figures in early American literature, and Walden is without doubt his most influential book. It recounts the author's experiences living in a small house in the woods around Walden Pond near Concord in Massachusetts. Thoreau constructed the house himself, with the help of a few friends, and one of the reasons why he moved into it was in an attempt to see if he could live independently and away from society. The result is an intriguing work which blends natural history with philosophical insights and includes many illuminating quotations from other authors. Thoreau's wooden shack has won a place for itself in the collective American psyche, a remarkable achievement for a book with such modest and rustic beginnings.
      ",Philosophers
5,The Quest for Character: What the Story of Socrates and Alcibiades Teaches Us about Our Search for Good Leaders,"
Description
What Socrates's greatest failure reveals about an ancient question: Can we teach our leaders to be better people? Is good character something that can be taught? In 430 BCE, Socrates set out to teach the vain, power-seeking Athenian statesman Alcibiades how to be a good person--and failed spectacularly. Alcibiades went on to beguile his city into a hopeless war with Syracuse, and all of Athens paid the price. In The Quest for Character, philosophy professor Massimo Pigliucci tells this famous story and asks what we can learn from it. He blends ancient sources with modern interpretations to give a full picture of the philosophy and cultivation of character, virtue, and personal excellence--what the Greeks called arete. At heart, The Quest for Character isn't simply about what makes a good leader. Drawing on Socrates as well as his followers among the Stoics, this book gives us lessons perhaps even more crucial: how we can each lead an excellent life. 
",Philosophers
6,Foucault in California: [A True Story--Wherein the Great French Philosopher Drops Acid in the Valley of Death],"
Description
        In The Lives of Michel Foucault, David Macey quotes the iconic French philosopher as speaking ""nostalgically...of 'an unforgettable evening on LSD, in carefully prepared doses, in the desert night, with delicious music, [and] nice people'"". This came to pass in 1975, when Foucault spent Memorial Day weekend in Southern California at the invitation of Simeon Wade-ostensibly to guest-lecture at the Claremont Graduate School where Wade was an assistant professor, but in truth to explore what he called the Valley of Death. Led by Wade and Wade's partner Michael Stoneman, Foucault experimented with psychotropic drugs for the first time; by morning he was crying and proclaiming that he knew Truth. Foucault in California is Wade's firsthand account of that long weekend. Felicitous and often humorous prose vaults readers headlong into the erudite and subversive circles of the Claremont intelligentsia: parties in Wade's bungalow, intensive dialogues between Foucault and his disciples at a Taoist utopia in the Angeles Forest (whose denizens call Foucault ""Country Joe""); and, of course, the fabled synesthetic acid trip in Death Valley, set to the strains of Bach and Stockhausen. Part search for higher consciousness, part bacchanal, this book chronicles a young man's burgeoning friendship with one of the twentieth century's greatest thinkers.
      ",Philosophers
7,The Man Who Understood Democracy: The Life of Alexis de Tocqueville,"
Description
A definitive biography of the French aristocrat who became one of democracy's greatest champions In 1831, at the age of twenty-five, Alexis de Tocqueville made his fateful journey to America, where he observed the thrilling reality of a functioning democracy. From that moment onward, the French aristocrat would dedicate his life as a writer and politician to ending despotism in his country and bringing it into a new age. In this authoritative and groundbreaking biography, leading Tocqueville expert Olivier Zunz tells the story of a radical thinker who, uniquely charged by the events of his time, both in America and France, used the world as a laboratory for his political ideas. Placing Tocqueville's dedication to achieving a new kind of democracy at the center of his life and work, Zunz traces Tocqueville's evolution into a passionate student and practitioner of liberal politics across a trove of correspondence with intellectuals, politicians, constituents, family members, and friends. While taking seriously Tocqueville's attempts to apply the lessons of Democracy in America to French politics, Zunz shows that the United States, and not only France, remained central to Tocqueville's thought and actions throughout his life. In his final years, with France gripped by an authoritarian regime and America divided by slavery, Tocqueville feared that the democratic experiment might be failing. Yet his passion for democracy never weakened. Giving equal attention to the French and American sources of Tocqueville's unique blend of political philosophy and political action, The Man Who Understood Democracy offers the richest, most nuanced portrait yet of a man who, born between the worlds of aristocracy and democracy, fought tirelessly for the only system that he believed could provide both liberty and equality.
      ",Philosophers
8,"At the Existentialist Café: Freedom, Being, and Apricot Cocktails with Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Mauri","
Description
Named one of the Ten Best Books of 2016 by the New York Times, a spirited account of a major intellectual movement of the twentieth century and the revolutionary thinkers who came to shape it, by the best-selling author of How to Live Sarah Bakewell. Paris, 1933: three contemporaries meet over apricot cocktails at the Bec-de-Gaz bar on the rue Montparnasse. They are the young Jean-Paul Sartre, Simone de Beauvoir, and longtime friend Raymond Aron, a fellow philosopher who raves to them about a new conceptual framework from Berlin called Phenomenology. You see, he says, if you are a phenomenologist you can talk about this cocktail and make philosophy out of it  It was this simple phrase that would ignite a movement, inspiring Sartre to integrate Phenomenology into his own French, humanistic sensibility, thereby creating an entirely new philosophical approach inspired by themes of radical freedom, authentic being, and political activism. This movement would sweep through the jazz clubs and caf s of the Left Bank before making its way across the world as Existentialism. Featuring not only philosophers, but also playwrights, anthropologists, convicts, and revolutionaries, At the Existentialist Caf follows the existentialists' story, from the first rebellious spark through the Second World War, to its role in postwar liberation movements such as anti-colonialism, feminism, and gay rights. Interweaving biography and philosophy, it is the epic account of passionate encounters--fights, love affairs, mentorships, rebellions, and long partnerships--and a vital investigation into what the existentialists have to offer us today, at a moment when we are once again confronting the major questions of freedom, global responsibility, and human authenticity in a fractious and technology-driven world.
      ",Philosophers
9,Why We Drive: Toward a Philosophy of the Open Road,"
Description
A brilliant and defiant celebration of driving as a unique pathway of human freedom, by one of the most influential thinkers of our time (Sunday Times)Why We Drive weaves philosophers, thinkers, and scientific research with shade-tree mechanics and racers to defend our right to independence, making the case that freedom of motion is essential to who we are as a species. ... We hope you'll read it. --Road & TrackOnce we were drivers, the open road alive with autonomy, adventure, danger, trust, and speed. Today we are as likely to be in the back seat of an Uber as behind the wheel ourselves. Tech giants are hurling us toward a shiny, happy ""self-driving"" future, selling utopia but equally keen to advertise to a captive audience strapped into another expensive device. Are we destined, then, to become passengers, not drivers? Why We Drive reveals that much more may be at stake than we might think.Ten years ago, in the New York Times-bestselling Shop Class as Soulcraft,  philosopher-mechanic Matthew B. Crawford--a University of Chicago PhD who owned his own motorcycle shop--made a revolutionary case for manual labor, one that ran headlong against the pretentions of white-collar office work. Now, using driving as a window through which to view the broader changes wrought by technology on all aspects of contemporary life, Crawford investigates the driver's seat as one of the few remaining domains of skill, exploration, play--and freedom. Blending philosophy and hands-on storytelling, Crawford grounds the narrative in his own experience in the garage and behind the wheel, recounting his decade-long restoration of a vintage Volkswagen as well as his journeys to thriving automotive subcultures across the country. Crawford leads us on an irreverent but deeply considered inquiry into the power of faceless bureaucracies, the importance of questioning mindless rules, and the battle for democratic self-determination against the surveillance capitalists. A meditation on the competence of ordinary people, Why We Drive explores the genius of our everyday practices on the road, the rewards of ""folk engineering,"" and the existential value of occasionally being scared shitless.Witty and ingenious throughout, Why We Drive is a rebellious and daring celebration of the irrepressible human spirit.
",Philosophers
