,title,about,genre
0,"Tomorrow, and Tomorrow, and Tomorrow","
Description
NEW YORK TIMES BEST SELLER - WINNER OF THE GOODREADS CHOICE AWARD - In this exhilarating novel by the best-selling author of The Storied Life of A. J. Fikry two friends--often in love, but never lovers--come together as creative partners in the world of video game design, where success brings them fame, joy, tragedy, duplicity, and, ultimately, a kind of immortality. - ""Delightful and absorbing."" --The New York Times A Best Books of the Year: The New York Times, Entertainment Weekly, TIME, GoodReads, Oprah Daily ""Utterly brilliant. In this sweeping, gorgeously written novel, Gabrielle Zevin charts the beauty, tenacity, and fragility of human love and creativity.... One of the best books I've ever read."" --John Green  On a bitter-cold day, in the December of his junior year at Harvard, Sam Masur exits a subway car and sees, amid the hordes of people waiting on the platform, Sadie Green. He calls her name. For a moment, she pretends she hasn't heard him, but then, she turns, and a game begins: a legendary collaboration that will launch them to stardom. These friends, intimates since childhood, borrow money, beg favors, and, before even graduating college, they have created their first blockbuster,  Ichigo. Overnight, the world is theirs. Not even twenty-five years old, Sam and Sadie are brilliant, successful, and rich, but these qualities won't protect them from their own creative ambitions or the betrayals of their hearts.  Spanning thirty years, from Cambridge, Massachusetts, to Venice Beach, California, and lands in between and far beyond, Gabrielle Zevin's Tomorrow, and Tomorrow, and Tomorrow is a dazzling and intricately imagined novel that examines the multifarious nature of identity, disability, failure, the redemptive possibilities in play, and above all, our need to connect: to be loved and to love. Yes, it is a love story, but it is not one you have read before.
      ",Romance
1,The Seven Husbands of Evelyn Hugo,"
Description
NEW YORK TIMES BESTSELLER ""If you're looking for a book to take on holiday this summer, The Seven Husbands of Evelyn Hugo has got all the glitz and glamour to make it a perfect beach read."" --Bustle From the New York Times bestselling author of Daisy Jones & the Six--an entrancing and ""wildly addictive journey of a reclusive Hollywood starlet"" (PopSugar) as she reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine. Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn's luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the '80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn's story near its conclusion, it becomes clear that her life intersects with Monique's own in tragic and irreversible ways. ""Heartbreaking, yet beautiful"" (Jamie Blynn, Us Weekly), The Seven Husbands of Evelyn Hugo is ""Tinseltown drama at its finest"" (Redbook): a mesmerizing journey through the splendor of old Hollywood into the harsh realities of the present day as two women struggle with what it means--and what it costs--to face the truth.
      ",Romance
2,It Starts with Us,"
Description
Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favorite Atlas's side of the story and shares what comes next in this long-anticipated sequel to the ""glorious and touching"" (USA TODAY) #1 New York Times bestseller It Ends with Us. Lily and her ex-husband, Ryle, have just settled into a civil coparenting rhythm when she suddenly bumps into her first love, Atlas, again. After nearly two years separated, she is elated that for once, time is on their side, and she immediately says yes when Atlas asks her on a date. But her excitement is quickly hampered by the knowledge that, though they are no longer married, Ryle is still very much a part of her life--and Atlas Corrigan is the one man he will hate being in his ex-wife and daughter's life. Switching between the perspectives of Lily and Atlas, It Starts with Us picks up right where the epilogue for the ""gripping, pulse-pounding"" (Sarah Pekkanen, author of Perfect Neighbors) bestselling phenomenon It Ends with Us left off. Revealing more about Atlas's past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband, it proves that ""no one delivers an emotional read like Colleen Hoover"" (Anna Todd, New York Times bestselling author).
      ",Romance
3,It Ends with Us,"
Description
From the #1 New York Times bestselling author of It Starts with Us and All Your Perfects, a ""brave and heartbreaking novel that digs its claws into you and doesn't let go, long after you've finished it"" (Anna Todd, New York Times bestselling author) about a workaholic with a too-good-to-be-true romance can't stop thinking about her first love. Lily hasn't always had it easy, but that's never stopped her from working hard for the life she wants. She's come a long way from the small town where she grew up--she graduated from college, moved to Boston, and started her own business. And when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily's life seems too good to be true. Ryle is assertive, stubborn, maybe even a little arrogant. He's also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn't hurt. Lily can't get him out of her head. But Ryle's complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his ""no dating"" rule, she can't help but wonder what made him that way in the first place. As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan--her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened. An honest, evocative, and tender novel, It Ends with Us is ""a glorious and touching read, a forever keeper. The kind of book that gets handed down"" (USA TODAY).
      ",Romance
4,Verity,"
Description
#1 New York Times Bestseller USA Today Bestseller The Globe and Mail Bestseller Publishers Weekly Bestseller Whose truth is the lie? Stay up all night reading the sensational psychological thriller that has readers obsessed, from the #1 New York Times bestselling author of It Ends With Us.  Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.  Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night her family was forever altered.  Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents could devastate the already grieving father. But as Lowen's feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife's words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her.
      ",Romance
5,Every Summer After,"
Description
A radiant debut.--Emily Henry,  #1 New York Times bestselling author of Book LoversTHE NEW YORK TIMES BESTSELLER! Named One of the Hottest Reads of Summer 2022 by Today ∙ Parade ∙ PopSugar ∙ USA Today ∙ SheReads ∙ BuzzFeed ∙ BookBub ∙ Bustle ∙ and more! Six summers to fall in love. One moment to fall apart. A weekend to get it right. They say you can never go home again, and for Persephone Fraser, ever since she made the biggest mistake of her life a decade ago, that has felt too true. Instead of glittering summers on the lakeshore of her childhood, she spends them in a stylish apartment in the city, going out with friends, and keeping everyone a safe distance from her heart. Until she receives the call that sends her racing back to Barry's Bay and into the orbit of Sam Florek--the man she never thought she'd have to live without. For six summers, through hazy afternoons on the water and warm summer nights working in his family's restaurant and curling up together with books--medical textbooks for him and work-in-progress horror short stories for her--Percy and Sam had been inseparable. Eventually that friendship turned into something breathtakingly more, before it fell spectacularly apart. When Percy returns to the lake for Sam's mother's funeral, their connection is as undeniable as it had always been. But until Percy can confront the decisions she made and the years she's spent punishing herself for them, they'll never know whether their love might be bigger than the biggest mistakes of their past. Told over the course of six years and one weekend, Every Summer After is a big, sweeping nostalgic story of love and the people and choices that mark us forever.
      ",Romance
6,You Made a Fool of Death with Your Beauty,"
Description
A Good Morning America Buzz Pick, and a Most Anticipated Book of 2022 by The Washington Post, Oprah Daily, Vulture, Harper's Bazaar, Thrillist, Essence, Good Housekeeping, Glamour, Marie Claire, Parade, Bustle, BuzzFeed, Refinery29, Business Insider,  The Guardian, Financial Times, PopSugar, Book Riot, LitHub, Bookish, LGBTQ Reads,  and more!  ""A deeply heartfelt romance novel."" --Marie Claire  ""An unabashed ode to living with, and despite, pain and mortality."" --The New York Times Book Review  A New York Times bestselling author, National Book Award finalist, and ""one of our greatest living writers"" (Shondaland) reimagines the love story in this fresh and seductive novel about a young woman seeking joy while healing from loss. Feyi Adekola wants to learn how to be alive again. It's been five years since the accident that killed the love of her life and she's almost a new person now--an artist with her own studio and sharing a brownstone apartment with her ride-or-die best friend, Joy, who insists it's time for Feyi to ease back into the dating scene. Feyi isn't ready for anything serious, but a steamy encounter at a rooftop party cascades into a whirlwind summer she could have never imagined: a luxury trip to a tropical island, decadent meals in the glamorous home of a celebrity chef, and a major curator who wants to launch her art career. She's even started dating the perfect guy, but their new relationship might be sabotaged before it has a chance by the overwhelming desire Feyi feels every time she locks eyes with the one person in the house who is most definitely off-limits--his father. This new life she asked for just got a lot more complicated, and Feyi must begin her search for real answers. Who is she ready to become? Can she release her past and honor her grief while still embracing her future? And, of course, there's the biggest question of all--how far is she willing to go for a second chance at love? Akwaeke Emezi's vivid and passionate writing takes us deep into a world of possibility and healing, and the constant bravery of choosing love against all odds.
      ",Romance
7,Before I Let Go,"
Description
""Real, raw, magnificent--Before I Let Go is the beautiful angst I love to read."" --Colleen Hoover, #1 New York Times bestselling author A Good Morning America Book Buzz Pick!  Their love was supposed to last forever. But when life delivered blow after devastating blow, Yasmen and Josiah Wade found that love alone couldn't solve or save everything.  It couldn't save their marriage.  Yasmen wasn't prepared for how her life fell apart, but she's is finally starting to find joy again. She and Josiah have found a new rhythm, co-parenting their two kids and running a thriving business together. Yet like magnets, they're always drawn back to each other, and now they're beginning to wonder if they're truly ready to let go of everything they once had.  Soon, one stolen kiss leads to another...and then more. It's hot. It's illicit. It's all good--until old wounds reopen. Is it too late for them to find forever? Or could they even be better, the second time around? Award-winning and bestselling ""powerhouse"" author Kennedy Ryan is at her absolute best in this compelling, scorching novel about hope and healing, and what it truly means to love for a lifetime (USA Today).  Book of the Month Club selection  NPR Best Books of 2022 Washington Post 10 Best Romances of the Year Women's Health Best Books of the Year Publishers Weekly Best Romance Books of 2022
      ",Romance
8,The Love Hypothesis,"
Description
The Instant New York Times Bestseller and TikTok Sensation! As seen on THE VIEW! A BuzzFeed Best Summer Read of 2021 When a fake relationship between scientists meets the irresistible force of attraction, it throws one woman's carefully calculated theories on love into chaos. As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships--but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees. That man is none other than Adam Carlsen, a young hotshot professor--and well-known ass. Which is why Olive is positively floored when Stanford's reigning lab tyrant agrees to keep her charade a secret and be her fake boyfriend. But when a big science conference goes haywire, putting Olive's career on the Bunsen burner, Adam surprises her again with his unyielding support and even more unyielding...six-pack abs. Suddenly their little experiment feels dangerously close to combustion. And Olive discovers that the only thing more complicated than a hypothesis on love is putting her own heart under the microscope.
      ",Romance
9,Lovelight Farms,"
Description
Where the lovelight gleams ...A pasture of dead trees. A hostile takeover of the Santa barn by a family of raccoons. And shipments that have mysteriously gone missing. Lovelight Farms is not the magical winter wonderland of Stella Bloom's dreams.In an effort to save the Christmas tree farm she's loved since she was a kid, she enters a contest with instafamous influencer Evelyn St. James. With the added publicity and the $100,000 cash prize, she might just be able to save the farm from its financial woes. There's just one problem. To make the farm seem like a romantic destination for the holidays, she lied on the application and said she owns Lovelight Farms with her boyfriend. Only ... there is no boyfriend.Enter best friend Luka Peters. He just came home for some hot chocolate, and somehow got a farm and a serious girlfriend in the process.Lovelight Farms is a romantic comedy featuring a handsome, freckled data analyst, a messy, optimistic Christmas tree farm owner, and a small town with the best hazelnut lattes on the east coast. This sweet and steamy romance is a holiday happily ever after.It is the first book in a series of interconnected standalones following the three Lovelight owners.
",Romance
